"station id","time","type","station name","station latitude","station longitude","bike_id","current bike count","initial bike count"
"3192","2019-09-01 07:24:54.4820","0","Liberty Light Rail","40.7112423","-74.0557013","29287","25","24"
"3211","2019-09-01 07:25:29.7370","0","Newark Ave","40.72152515","-74.046304543","29551","21","20"
"3681","2019-09-01 07:30:39.7640","0","Grand St","40.7151776773203","-74.0376833081245","29221","14","15"
"3225","2019-09-01 07:30:59.4700","0","Baldwin at Montgomery","40.7236589","-74.0641943","26182","11","11"
"3792","2019-09-01 07:32:18.4890","1","Columbus Dr at Exchange Pl","40.71687","-74.03281","29522","12","10"
"3185","2019-09-01 07:33:29.2760","0","City Hall","40.7177325","-74.043845","29612","5","11"
"3185","2019-09-01 07:34:22.3100","1","City Hall","40.7177325","-74.043845","29221","6","11"
"3276","2019-09-01 07:36:39.0380","0","Marin Light Rail","40.7145840353589","-74.042817056179","26213","27","33"
"3209","2019-09-01 07:38:34.4690","1","Brunswick St","40.7241765","-74.0506564","29612","27","26"
"3639","2019-09-01 07:38:54.6810","0","Harborside","40.7192517","-74.034234","29509","17","14"
"3186","2019-09-01 07:39:22.9970","1","Grove St PATH","40.7195861164717","-74.0431174635887","26182","14","10"
"3199","2019-09-01 07:39:38.2710","1","Newport Pkwy","40.7287448","-74.0321082","29551","12","13"
"3186","2019-09-01 07:40:00.4410","1","Grove St PATH","40.7195861164717","-74.0431174635887","26213","15","10"
"3184","2019-09-01 07:41:26.2900","1","Paulus Hook","40.7141454","-74.0335519","29509","11","10"
"3202","2019-09-01 07:43:39.8720","1","Newport PATH","40.7272235","-74.0337589","29287","23","26"
"3202","2019-09-01 07:45:54.6910","0","Newport PATH","40.7272235","-74.0337589","29549","22","26"
"3187","2019-09-01 07:47:33.4710","0","Warren St","40.7211236","-74.03805095","29440","15","15"
"3187","2019-09-01 07:47:33.6130","0","Warren St","40.7211236","-74.03805095","29475","14","15"
"3270","2019-09-01 07:47:36.0530","0","Jersey & 6th St","40.7252891078113","-74.0455716848373","26311","36","36"
"3211","2019-09-01 07:48:45.4280","0","Newark Ave","40.72152515","-74.046304543","26257","20","20"
"3211","2019-09-01 07:49:25.2600","1","Newark Ave","40.72152515","-74.046304543","26311","21","20"
"3203","2019-09-01 07:51:33.0380","1","Hamilton Park","40.727595966","-74.044247311","26257","79","81"
"3267","2019-09-01 07:54:40.2960","0","Morris Canal","40.7124188237569","-74.0385255217552","29663","33","34"
"3280","2019-09-01 07:56:00.3740","0","Astor Place","40.719282200707","-74.071261882782","29242","15","15"
"3280","2019-09-01 07:56:11.8280","0","Astor Place","40.719282200707","-74.071261882782","29660","14","15"
